Model,Precision,Recall,F1_Score,Weight,Rank
Decision Tree,0.05128205128205128,0.6666666666666666,0.09523809523809523,0.12347354138398917,3
Multi-Layer Perceptron,1.0,0.3333333333333333,0.5,0.6173677069199458,1
Stochastic Gradient Descent,0.058823529411764705,0.8333333333333334,0.10989010989010989,0.135685210312076,2
Redis VL Similarity,0.0030450669914738123,0.8333333333333334,0.006067961165048544,0.12347354138398917,4
Ensemble,0.5,0.5,0.5,1.0,0
